acousticness,added_at,artist,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,name,popularity,preview_url,speechiness,tempo,time_signature,track_img,valence
0.0262,12/8/16,Sigur RÃ_s,0.304,269693,0.675,0.257,11,0.212,-6.378,HoppÃ_polla,48,https://p.scdn.co/mp3-preview/7409201856167785a88a263b82190b51186591f5?cid=930456c642564135939390fde3dd06bf,0.0326,139.818,4,https://i.scdn.co/image/52d853379aed728e5991be42520156107536c48b,0.169
0.379,12/8/16,Monika,0.479,207827,0.254,6.57E-05,0,0.56,-11.677,Yes I Do,43,https://p.scdn.co/mp3-preview/c62c20a844c54a56575e48ea1181d07db44c6a31?cid=930456c642564135939390fde3dd06bf,0.0323,134.843,4,https://i.scdn.co/image/5d0829a1e36f2503424bec6912ae136005cecfd7,0.24
0.0203,12/8/16,Monika,0.22,306320,0.588,0.966,10,0.102,-9.293,Take Me with You,31,https://p.scdn.co/mp3-preview/ba1e2db6693a24ffc7c15f8279f113c0c72cf086?cid=930456c642564135939390fde3dd06bf,0.0357,113.4,4,https://i.scdn.co/image/8e1e13f09ec2d9502445d4e695cd4a7ae9fa68d7,0.342
0.12,12/6/16,Late Night Radio,0.713,236427,0.546,0.0683,9,0.152,-6.159,Forever in a Day,23,https://p.scdn.co/mp3-preview/4bbf8cad7143cc1c8ab58cd2d8ea45cdaa237d10?cid=930456c642564135939390fde3dd06bf,0.0546,76.998,4,https://i.scdn.co/image/eb856aed9a9f546f4a9ff14367644f44ee494fc1,0.397
0.378,12/6/16,Capre,0.612,311056,0.572,0.0139,10,0.214,-8.092,Give,37,https://p.scdn.co/mp3-preview/a8b7fe941284dca65acb39c1371f8e60c9f10899?cid=930456c642564135939390fde3dd06bf,0.127,85.046,4,https://i.scdn.co/image/1fd0defe3f511a195689d78bf5869ab1a866ee3f,0.151
0.167,12/5/16,Late Night Radio,0.515,259963,0.67,0.0044,9,0.26,-3.561,Find the Love (feat. Borahm Lee),43,https://p.scdn.co/mp3-preview/524e4f3acfd3bf1622c24bdd32f041a95cc4972c?cid=930456c642564135939390fde3dd06bf,0.0321,95.12,4,https://i.scdn.co/image/4c802609d28bd0750c5a544ad03e4af8b0446dd0,0.353
0.0309,12/5/16,PLPS,0.478,273963,0.771,0.316,2,0.155,-5.915,How I Feel (Long Version),4,,0.0362,158.046,4,https://i.scdn.co/image/79f9ff7983195f3f91df9868ab7989099242d077,0.563
0.066,12/5/16,Coast Modern,0.595,229667,0.749,4.24E-05,4,0.0798,-5.992,The Way It Was,57,https://p.scdn.co/mp3-preview/0dd2203cc1456a8b8c187242c482f851d5ef4146?cid=930456c642564135939390fde3dd06bf,0.0541,80.033,4,https://i.scdn.co/image/8fd2367bb6719bf57bfad475ce4137bc66394b60,0.624
0.0207,12/5/16,Favored Nations,0.824,226478,0.672,0,5,0.0815,-8.597,Lagoon,8,https://p.scdn.co/mp3-preview/25eda3adebcd15244ddad4824890a8045a662617?cid=930456c642564135939390fde3dd06bf,0.0409,123.99,4,https://i.scdn.co/image/bc35e140097e4ef701e1e7a5f110b5ae96875ca0,0.875
0.239,12/5/16,Busty and the Bass,0.575,302347,0.765,0.00498,5,0.168,-6.142,Blip,31,https://p.scdn.co/mp3-preview/06791e6da7cec5f431edc98c7397820c534bc6dc?cid=930456c642564135939390fde3dd06bf,0.051,119.989,4,https://i.scdn.co/image/15f5171ceea427a1c87b0a60e5e0187703899fb7,0.459
0.106,12/5/16,Le Malls,0.51,172619,0.372,0.25,3,0.15,-7.035,Night Walk,46,https://p.scdn.co/mp3-preview/10d1afb4cf165203aae41c9b6f785acfedc70cf9?cid=930456c642564135939390fde3dd06bf,0.101,88.978,4,https://i.scdn.co/image/22ae04915f024651cd4cb0d3e5d5f26d079409bf,0.143
